【壹】TK待執行清單 20140115-shin.txt
     （備注：共 224部。「+ 」號，shin 於 2025年5月16日已移除）
 
 *****************************
 TK作業清單 20140115 for shin
  # 行首有 + 號者表示過去已經處理完成，Shin 不用再處理。
  # 行首有 S 號者表示交給 Shin  執行的新一波作業。共 422 經 1122 卷。
  ─────────────────────────────────────
  大正            高麗          卷
  經號---冊-頁    經號------冊  數 經名(卷數)【朝代 作譯者】
  ───────  ──────  ─ ────────────────────
【貳】以下是 shin 檢索網頁信箱，疑似沒有初步 TK 比對過濾的經號。共 16 部。
　　　可能是 maha 不交付(或許同仁有做過了，或是 shin 沒處理的？

?T25n1509-K0549.txt
?T25n1510a-K0555.txt
?T30n1579-K0570.txt
?T31n1586-K0609.txt
?T31n1588-K0613.txt
?T31n1589-K0610.txt
?T31n1591-K0605.txt
?T32n1670A-K1002.txt
?T34n1730-K1501.txt
?T36n1739-K1263.txt.sum
?T45n1901-K1085.TXT
?T45n1902-K1083.TXT
?T45n1903-K1084.TXT
?T48n2016-K1499.txt
?T50n2053-K1071.txt
**********************
End
